review_id,bank,review_text,processed_text,sentiment_label,sentiment_score,theme
3e1d37a0-a082-4cb0-912a-8efff072ed3f,CBE,20 years,year,neutral,0.0,Other
a7d1c799-ba53-4a0a-a8d6-c5400a009825,CBE,A great app. It's like carrying a bank in your pocket.,great app like carry bank pocket,positive,0.8,Other
64ed5562-1758-4eb8-9291-8b6edc394118,CBE,More than garrantty bank EBC.,garrantty bank ebc,positive,0.5,Other
d0c05687-ddd4-43fb-95a9-08f6358d80a2,CBE,really am happy to this app it is Siple to use everything,happy app siple use,positive,0.8,Other
811bf820-3529-433a-9b6d-e624fa23a16a,CBE,I liked this app. But the User interface is very basic and not attractive at all.,like app user interface basic attractive,positive,0.06666666666666665,Other
be2cb2ac-bbe0-4175-81c4-9f6c86afdaaa,CBE,"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",atms support account account transfer like country kenya nigeria south africa,negative,-0.125,Other
8efd71e9-59cd-41ce-8c5c-12052dee9ad0,CBE,what is this app problem???,app problem,neutral,0.0,Other
b12d0383-9b27-4e49-a94d-277a43b15800,CBE,the app is proactive and a good connections.,app proactive good connection,positive,0.7,Other
dd9f9e37-177a-46df-b877-d0edaa9aed29,CBE,I cannot send to cbebirr app. through this app.,send cbebirr app app,neutral,0.0,Other
8e34703c-203c-4180-8b32-bfd0b3f0c871,CBE,good,good,positive,0.7,Other
6f0c7fa2-3ce1-4310-b135-54fe0cb9fccd,CBE,not functional,functional,neutral,0.0,Other
f0dd744a-9409-4619-9800-7ea501571b09,CBE,"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",everytime uninstall app reach physically oldy security layer check fraud attempt app source app store play store etc implicitly physical presence app install rare,positive,0.23416666666666666,Other
3949d8e0-7ac4-4b43-b4f4-a45d6a888a85,CBE,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,neutral,0.0,Other
36f83ed0-3935-4ebd-98e5-34cf25095d32,CBE,best,well,positive,1.0,Other
f2bb4b73-090e-4834-8c89-2263a1158c38,CBE,bezabih,bezabih,neutral,0.0,Other
54f070b9-895f-40e8-be18-acb16f8af7fa,CBE,Best Mobile Banking app ever,good mobile banking app,positive,1.0,Other
aa72fd94-aca8-48b2-bae2-29ad7633c7fb,CBE,good,good,positive,0.7,Other
9af95d2a-e42c-45ff-a4c9-5c38765df4a4,CBE,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,good app issue like not right bank issue transfer,positive,0.4928571428571428,Other
88a64315-9de3-4a35-ac27-5ff37c2833b6,CBE,good,good,positive,0.7,Other
c2cf0ff7-85ac-4e7c-902d-a8c5a8d69e22,CBE,Good,good,positive,0.7,Other
acadb124-d34c-4387-97e8-266200c78d4e,CBE,👌👍,,neutral,0.0,Other
42eed344-f5b7-49be-a7eb-b1c14386e20b,CBE,very niec,niec,positive,0.2,Other
fce00cda-d71a-486e-a4c2-7479ab7793bc,CBE,best app of finance,good app finance,positive,1.0,Other
f543a13e-bc0f-4348-b57f-3a83eb67206c,CBE,yetemeta,yetemeta,neutral,0.0,Other
2470d199-834a-4134-a0f9-8c684ba75491,CBE,Engida Kebede Fetera,engida kebede fetera,neutral,0.0,Other
4beee0dd-05ad-474c-bdff-0146723f2179,CBE,good,good,positive,0.7,Other
428e5117-387f-4c9d-b095-3230e3f83a8a,CBE,it is not safety,safety,neutral,0.0,Other
f897e474-f560-4cf9-b66b-48c455443bfe,CBE,NICE bank,nice bank,positive,0.6,Other
2f605bab-a62d-4298-bb1d-0b749bc666c4,CBE,it is like a childish app make it better the worst I have ever seen,like childish app well bad see,negative,-0.2333333333333333,Other
90395621-bcb9-4c87-9742-57faa8e345c1,CBE,"It's a problem solver application, go ahead CBE, I love so much.",problem solver application ahead cbe love,positive,0.35,Other
a6a00b41-127d-4dda-b175-e65b9879dec7,CBE,It's good but try to make it facilitate for your client,good try facilitate client,positive,0.7,Other
fae0ea4e-f650-415c-a91a-95b6b3149979,CBE,best app,good app,positive,1.0,Other
a3290b0c-4569-4ed7-87aa-3a18639b4525,CBE,Awesome bank,awesome bank,positive,1.0,Other
50ffac9d-437d-4d26-af4f-b6b0153d55fd,CBE,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,app develop good way comment need prevent screenshot likely good like coz need screenshot quick evidence good access recent transaction history day coz bank person old transaction add colander category user easily access old transaction colander,positive,0.2214814814814815,Other
0c9b996b-a42e-4500-84fa-1d5eb764f490,CBE,Masha alla,masha alla,neutral,0.0,Other
8bf4df47-c266-4152-9790-4217143b3a91,CBE,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",recently big problem send safaricom telebir cbebirr wallet anybody responsible fix frustrating day money return take account send mpesa correct send money afraid send,negative,-0.15333333333333332,Other
62a13195-2c9d-4606-8f83-2866774e122c,CBE,better service,well service,positive,0.5,Other
66bc4eed-2004-41ea-89cd-5bed26921bc1,CBE,"it,s good app and time manager 👍",s good app time manager,positive,0.7,Other
17190f44-a419-45dc-be9d-68b80c5360a2,CBE,malkaamuu Jiidhaa Namoo,malkaamuu jiidhaa namoo,neutral,0.0,Other
34cf56c4-74b9-4bec-b474-0d533f8aff49,CBE,lower system everything,low system,neutral,0.0,Other
43135ccc-5195-43a0-b7a1-c446368d8046,CBE,Nice!,nice,positive,0.75,Other
b99da78e-335f-40cb-bae6-26b71fa7c68c,CBE,Keep it up My CBE,cbe,neutral,0.0,Other
aa3d99be-ecdc-4651-ad1e-347f0f8cd3e2,CBE,yes good,yes good,positive,0.7,Other
ea23b98c-f4c7-4fdc-b64f-d8097e5efd1a,CBE,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",app year problem stop work month ago try transfer fund give error transaction inactive account,neutral,0.0,Other
22c85c1d-46f6-4288-aab9-b615c040e6bb,CBE,i like everything of this app,like app,neutral,0.0,Other
058173b0-3379-42c8-9ff7-cea64a66895c,CBE,good,good,positive,0.7,Other
b3310092-87a7-4996-b673-366957705b66,CBE,🤬🤬🤬🤬 network 🛜,network,neutral,0.0,Other
a5a0372d-1dac-4a2d-a84e-f2c4d2bdbe2b,CBE,Best,well,positive,1.0,Other
fe899c01-b28c-4e6a-b221-a14759e3a97e,CBE,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,cbe good financial application dimple use like thank developer application appreciate app,positive,0.31999999999999995,Other
03964dd0-bf0a-4d13-a6b0-c1437d02d94f,CBE,nice,nice,positive,0.6,Other
55381137-2212-4d86-9e3b-37b0910b9107,CBE,good job,good job,positive,0.7,Other
ab728a43-6a39-41aa-a872-3e2a6154dc5a,CBE,Good,good,positive,0.7,Other
a9dd0b63-ccf5-4a8e-a0cf-5aae4cc0ef3b,CBE,it's awesome!!,awesome,positive,1.0,Other
311eda41-1f0d-412f-a35c-09eae912fcdb,CBE,best,well,positive,1.0,Other
fe6bf4b0-6bbd-4d88-b5b2-fa31f19ac63f,CBE,thankyou every one,thankyou,neutral,0.0,Other
d5a14f98-2d64-4666-aab0-424dd1fc7e21,CBE,best app,good app,positive,1.0,Other
e24202d3-c8fd-46f3-9919-a6946c6ac403,CBE,Ronaldo 🇵🇹 🥇,ronaldo,neutral,0.0,Other
52aa3e01-9c6a-499d-aa48-b85b82d34781,CBE,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",app absolutely fantastic love enjoy let support foundation,positive,0.4666666666666666,Other
9e6b8e08-8acf-4e1f-a179-a5a703ff2ebc,CBE,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",cbe app highly unreliable recent week frequently fail work properly ethio telecom safaricom network wi fi mobile datum week system entirely extended period make difficult access banking service app function intermittently lack consistency frustrating hope issue address soon non technical influence remove essential service,negative,-0.1405050505050505,Other
d4c4a244-7c41-4d44-9541-a9fefc6190c3,CBE,mortuary app,mortuary app,neutral,0.0,Other
